product_name,category,review_title,review_text,rating,review_date,verified,full_review,clean_review,vader_score,vader_sentiment,rating_sentiment
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,I like it.,It is simple to operate and works perfectly fine.,5.0,2025-06-20,yes,I like it. It is simple to operate and works perfectly fine.,I like it. It is simple to operate and works perfectly fine.,0.8176,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,It’s rather small.,It’s rather small,2.0,2025-06-19,yes,It’s rather small. It’s rather small,It’s rather small. It’s rather small,0.0,neutral,negative
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,Met expectations,Met expectations. Fairly priced.,5.0,2025-06-13,yes,Met expectations Met expectations. Fairly priced.,Met expectations Met expectations. Fairly priced.,0.0,neutral,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,working well,"Ensure transporting it carefully, it was  somehow scratched",5.0,2025-06-13,yes,"working well Ensure transporting it carefully, it was  somehow scratched","working well Ensure transporting it carefully, it was  somehow scratched",0.6369,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,Works well. I like it,Lightweight but serves its purpose,5.0,2025-06-03,yes,Works well. I like it Lightweight but serves its purpose,Works well. I like it Lightweight but serves its purpose,0.3182,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,I like the product,"The packaging is nice
Qiuck delivery
Good quality",5.0,2025-05-08,yes,"I like the product The packaging is nice
Qiuck delivery
Good quality",I like the product The packaging is nice Qiuck delivery Good quality,0.802,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,Not perfect,"Does not make water hot, I'm disappointed ☹️",1.0,2025-05-06,yes,"Not perfect Does not make water hot, I'm disappointed ☹️","Not perfect Does not make water hot, I'm disappointed ☹️",-0.7268,negative,negative
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,mmmh,yap,3.0,2025-02-19,yes,mmmh yap,mmmh yap,0.0,neutral,neutral
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,so far so goood,Yeah.. if there was a cold one too,3.0,2025-02-13,yes,so far so goood Yeah.. if there was a cold one too,so far so goood Yeah.. if there was a cold one too,0.0,neutral,neutral
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,just ok,Improve on quality,4.0,2025-01-21,yes,just ok Improve on quality,just ok Improve on quality,0.6249,positive,positive
